education_level,python_skill,java_skill,cpp_skill,javascript_skill,sql_skill,statistics_skill,machine_learning_skill,cloud_skill,web_development_skill,data_analysis_skill,cybersecurity_skill,communication_skill,problem_solving_skill,interest_ai,interest_data,interest_web,interest_cloud,interest_security,interest_embedded,experience_level,preferred_domain,career_role
Bachelor's,9,4,1,2,8,4,6,9,4,10,2,8,9,7,8,2,4,2,0,Intermediate,Data,Data Engineer
Bachelor's,9,4,3,2,6,0,0,10,4,3,4,7,9,1,1,3,10,3,2,Intermediate,Cloud,DevOps Engineer
PhD,6,9,5,5,3,2,3,4,6,5,5,5,5,1,2,3,3,4,5,Fresher,General,Software Developer
Bachelor's,7,4,3,5,4,3,2,3,1,8,9,8,10,2,3,3,2,10,1,Fresher,Security,Cybersecurity Analyst
Bachelor's,3,2,0,9,5,0,3,3,9,3,1,5,5,2,2,10,0,1,0,Fresher,Web,Frontend Developer
Master's,0,3,6,3,3,2,0,8,1,2,5,7,8,2,3,0,6,7,3,Intermediate,Cloud,Network Engineer
Master's,10,2,2,7,6,6,10,6,5,5,2,4,10,10,5,2,4,0,3,Intermediate,AI,AI Engineer
Diploma,6,4,2,6,6,3,1,2,5,6,2,9,8,1,2,4,2,1,0,Fresher,General,QA Engineer
Bachelor's,7,5,3,3,6,4,4,10,3,5,2,9,10,4,3,0,8,3,1,Intermediate,Cloud,DevOps Engineer
Bachelor's,7,3,2,3,5,4,1,5,0,3,10,5,8,0,1,2,4,10,1,Fresher,Security,Cybersecurity Analyst
Bachelor's,3,7,0,6,4,1,2,4,8,0,1,7,9,4,3,10,2,5,3,Fresher,Web,Mobile App Developer
Master's,9,5,5,4,3,8,10,3,1,6,1,9,10,9,7,2,5,2,2,Experienced,Embedded,Machine Learning Engineer
Diploma,9,7,7,6,6,2,3,5,7,2,4,5,7,3,4,6,3,3,3,Fresher,General,Software Developer
Diploma,7,7,7,5,7,0,2,5,8,5,5,6,8,4,3,4,2,0,4,Fresher,General,Software Developer
Master's,4,3,4,2,3,0,0,7,0,3,9,6,10,1,1,1,5,6,1,Intermediate,Cloud,Network Engineer
Master's,3,5,4,1,10,6,2,8,2,8,2,7,10,5,10,1,9,0,0,Intermediate,Data,Data Engineer
Bachelor's,3,8,7,8,6,4,0,3,6,0,2,5,8,1,0,10,2,0,4,Fresher,Web,Mobile App Developer
Bachelor's,6,6,3,5,5,6,3,4,2,4,9,5,9,1,1,2,3,10,5,Fresher,Security,Cybersecurity Analyst
